url,verdict,risk,details
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Best-Practices-Meet-2010-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/merge-UBI-Andh.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/HeroFincorp logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Vinod Sood.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/payatu_logo_large_3.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/pravin-kumar---wibmo.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/popup-anything-on-click/assets/js/custombox.min93f6.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/event_small_160x108/public/11th-Cybercrime-Awareness-Workshop-for-main.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://ccoe.dsci.in/core/assets/c74922f03e/assets/fonts/fontawesome-webfont.svg?v=FUZZ,SAFE,Low,Static file extension detected (svg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/cdrpl 340 156 logo png.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/events/aiss-2016/js/themed28d.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/rahul-matthan (1).jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/ibmpos_blue.jpeg?itok=FUZZ,SAFE,Low,Static file extension detected (jpeg)
https://www.dsci.in/sites/default/files/styles/735_332/public/Study Report-3.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Vaishali-Bhagwat.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/indian-oil_2.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/Subex-Logo.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/akshat-jain.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/JS.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/garima-gupta.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Architectural-Ideas-&-Capabilities_0.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/previous_issue_250x335/public/DSCI-Annual-Report-2014-15.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/jyoti-pandey.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/AISS2018.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/dataresolve.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Rethinking-dataprotection.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/Preview_4.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/image_preview_0.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/events/aiss-2018/cdn_assets/theme/9/js/mainbundle6129e.html?v=FUZZ,SAFE,Low,Path is in safe directory: /js/
https://www.dsci.in/sites/default/files/styles/130_140/public/image1 (2).png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/hcl-hack-v3.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Capture.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/event/finsec-conclave-2024/css/schedule.css?v=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/735_332/public/Study Report-1.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://ccoe.dsci.in/wp-content/themes/ryse/assets/js/jquery.sidr.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sectoral-privacy-project/wp-content/plugins/ninja-forms/assets/css/font-awesome.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/babitha-b-p.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/prayank-swaroop.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/SKP logo w 25pc exclusion (high res) transparent.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Krishna Sirohi .jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/First-Hyderabad-Security-Conference-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://blogs.dsci.in/wp-content/themes/ribosome/css/font-awesome-4.4.0/fonts/fontawesome-webfont.ttf?v=FUZZ,SAFE,Low,Static file extension detected (ttf)
https://www.dsci.in/sites/default/files/styles/130_140/public/entrust-datacard.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/dpd-quiz/wp-content/plugins/user-registration/assets/js/frontend/user-registration-form-validator.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://ccoe.dsci.in/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Atul K.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/BRIJESH DATTA.jpeg?itok=FUZZ,SAFE,Low,Static file extension detected (jpeg)
https://www.dsci.in/sites/default/files/styles/130_140/public/canra.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Rahul Sharma-01.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Logo2008_JPMC_A_Black_0.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Preview_9.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/MetLife Company Logo.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/anuva-ambastha.jpeg?itok=FUZZ,SAFE,Low,Static file extension detected (jpeg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Bhairav-Acharya.jpeg?itok=FUZZ,SAFE,Low,Static file extension detected (jpeg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Cyber Asuure Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/FT Logo DSCI Membership Capture.PNG?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/industry-development/assets/images/banner/domestic-market-home-banner.jpg?v=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/elementskit/widgets/init/assets/js/elementorc2d0.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/IL & FS Logo 1 jpg.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
